,Text
562970,I love these cookies!  Not only are they healthy but they taste great and are so soft!  I will definitely add these to my grocery list!
562971,"Quaker Soft Baked Oatmeal Cookies with raisins are a delicious treat, great for anytime of day.  For example:<br /><br />--at breakfast, I had one with a large banana and a cup of coffee, and felt I'd had a relatively ""healthy"" start to the day.<br /><br />--the next day at lunch, following a tuna sandwich, I had one with a glass of milk, and was satisfied enough to not need a snack before dinner at 6:30.<br /><br />--the following night, after dinner, I had one with the remainder of my glass of wine. (Delicious!) And again, didn't feel the need to snack later in the evening.<br /><br />Each cookie is individually packaged, and their texture is soft and moist, with just the right amount of sweetness. Natural flavors used in the making are Cinnamon and All Spice.  These flavorings give the cookies a real old-fashioned, homemade taste.<br /><br />Nutritionally, the cookies have 170 calories each, 1.5g saturated fat, 150 mg sodium, and 12g sugar. They also have 2g of protein, and contain 25g of fiber.<br /><br />While the calorie count may seem a bit high for one cookie, they are good sized, and 1 cookie per serving is certainly enough to satisfy.<br /><br />Because of their great taste and texture, kids will probably enjoy them also.<br /><br />If you like oatmeal raisin cookies, give these a try!"
562972,"I am usually not a huge fan of oatmeal cookies, but these literally melt in your mouth. They are so soft and tasty! I would definitely recommend these to someone who loves oatmeal, and even those like me who would probably pick a different flavor over this one."
562973,"I participated in a product review that included a sample of <a href=""http://www.amazon.com/gp/product/B007JFMH8M"">Quaker Soft Baked Oatmeal Cookie, Raisins, 8.8-Ounce (Pack of 12)</a>.  Okay first of all I love Oatmeal Raisin cookies and this one was no exception.  It was great!!! Soft n chewy, nice portion size and and as always a high quality product from Quaker Oats.  Thanks to Quaker and Influenster to for including this in their Mom Voxbox.  If you haven't tried it you need to and make sure to share it with the family."
562974,"My kids loved these. I was very pleased to give my kids a quick on the go healthy snack before soccer and acne practice. They loved the flavor, I loved that its healthy."
562975,I really enjoyed these individually wrapped big oatmeal cookies. They are really soft and chewy. You can buy different flavors. I will definately be repurchasing these cookies in the future. They are delicious and super healthy too.
562976,"I was surprised at how soft the cookie was. I usually buy Little Debbie's cookies, and I noticed the Quaker Soft Baked Oatmeal Cookie was bigger and had a bold taste."
562977,Filled with oats and raisins you'll love this snack ..... Delicious and nutritious ..... what else is there to say.... you can't beat that....
562978,"I was recently given a complimentary ""vox box"" from influenster, call the mom vox box. It came with various products in it for me to try out and review the products inside. One of the products i received was a Quaker soft baked oatmeal cookie ""raisins"" flavor. When i opened the cookie wrapper, i gave half of it to my 3 year old and i ate the other half. I was immediately surprised by how soft the cookie was when i was splitting it in half. It was like a really really good home baked cookie. Soft, chewy and tasty. I normally do not like oatmeal raisin cookies, due to the raisins, but this cookie was surprisingly yummy. My three year old loved it so much that we had to go out and buy our own box. The cookies are soft, chewy, yummy, and healthier than other kinds of cookies, so  i would definitely recommend this product to people that have kids for a healthy yummy substitute to other sweets"
562979,"the best and freshest cookie that comes in a package, we ate them up, wishing we had more. soo good"
562980,I am a huge fan of the Quaker Chewy cookies! The moist cookies are satisfying and not too sweet. The high quality ingredients are a crowd pleaser. A must have for any car trip! After one cookie I was hooked. Highly recommend!
562981,yummy and delicious. i love eating it when it when its warm. the best store bought cookies! cant wait to buy more!
562982,"I received a Quaker Oatmeal Soft Baked Oatmeal Raisin cookie to try/eat for free from Influenster [...]). I shared the cookie with my kids, and we gobbled up the cookie faster than you can say ""Quaker Oatmeal Soft Baked Cookies."" It was soft (as advertised) and included a sufficient amount of raisins to make me happy (I like raisins). It was soft without being crumbly, moist, and not too dense (some oatmeal cookies are pretty dense). I highly recommend this cookie to anyone thinking of trying it for the first time:)"
562983,These cookies were so good. Can't wait to go out and buy some more! A good snack when you don't want to over-indulge yourself
562984,I received these in my MomVox box from influenster! I loved it! Oatmeal cookies are my favorite and these are by far the best store bought brand I have tasted! I recommend these to anyone with a sweet tooth trying to stay healthy.
562985,Quaker Soft Baked Oatmeal Cookies taste just like the cookies my grandma used to bake. Great to take as a quick breakfast since it is made with whole grain Quaker Oats.
562986,"These cookies are a real hit with my children! I received a sample from @Influenster in my Mom Vox Box. I enjoyed the sweetness, yet whole grain taste (which I love) and the moist raisins. This cookie would be perfect for breakfast, snack, or dessert! What could be better than that?! I love these cookies and definitely will be buying more!"
562987,I really enjoy Quaker's products and the fact that they are more healthy than most other products. These were really good especially if you like raisins.
562988,This was the most delightful cookie i ever tasted. I was very surprised on how soft and fresh it tasted. It makes a great snack on the go as well! I tried the chocolate almond as well and YUMMY! Quaker hit  this one out of the park!
562989,"Quaker used some good ingredients in the cookie and one cookie eaten amongst four kids did not meet the nutritional panel for one cookie. Even if one cookie was eaten by them each the nutritional panel was pretty good.  So, I can be a happy mom about the children eating the cookie"
562990,"My daughter stole it from me and ate it, I guess it's a good thing I can't stand oatmeal.  But both my kids are already huge fans of all things Quaker so it's easy for me to write this review.<br /><br />Quaker Soft Baked Oatmeal Cookies are chewy, nutrition and according to my kids, DELICIOUS.  They are made with Whole Grain Quaker Oats, individually packaged at $2.69 for a box of 6, is a good source of fiber, only contains 6 grams of total fat per cookie and sold pretty much EVERYWHERE!"
562991,"I loved this delicious cookie! I even shared it with my 11 month old, and I'm a pretty big health nut when it comes to what I feed my daughter. It tasted great, was a great portion and it's not full of fats and sugars like all of those other cookies!"
562992,I enjoy these cookies... They taste like my grandmas homeade cookies.. Plump and super soft!!! I can't wait to try the other favors made by quacker.l
562993,"These cookies have perfect flavor, excellent moist/dry combination and are very soft. They melt in your mouth. I love the taste, I could eat box after box!"
562994,"Received this through VoxBox and loved it. My son ended up with most of it, which is fine. Excellent product to keep on hand or in the diaper bag."
562995,"I love oatmeal cookies and have made them at least hundred times.  I love my cookies, but these come in a very close second to my under baked, soft homemade ""vanishing oatmeal"" cookies.<br />There's some ingredients in these cookies that I don't find in my kitchen cabinet, but if you're not against prepackaged food, it shouldn't bother you.<br /><br />I loved the allspice taste, but my guy friend didn't that much.  I think he's just partial to my cookies.  The individual serving size is nice.  I'm more apt to just have one cookie this way rather than opening a whole box and having to eat them before they get stale.  I could say that individually wrapping the cookie saves me from just having one more and one more and..........<br /><br />They are delicious and make me feel like I'm eating something that is somewhat healthy for me.  After all, there is oatmeal in the cookie."
562996,I love the soft bakes oatmeal raisin cookies.  The subtle taste of the oatmeal with the natural sweetness of the raisins is wonderful.
562997,"I was pleasantly surprised when I tasted these oatmeal cookies, they were delicious. It is a great go to snack when you are out and about and need something quick... and the kids love them!"
562998,"This was delicious. I was hesitant about trying it, but I was pleasantly surprised. It was so delicious and soft. I like my cookies crunchy and well done. Lol When baking my own I usually lightly burn a few for me. But this cookie was so good. I think I will make an exception for the Quaker Soft Baked Oatmeal Raisins"
562999,"I received a free sample of these cookies through Influenster and immediately got hooked on them. They're are so soft, perfect for anytime but specially for breakfast. My son loved them even though he doesn't like Oatmeal. I had to purchase more and now we treat ourselves every morning to a yummy cookie."
563000,"I loved the texture, the natural taste, and the softness was just right!!! If you are wanting a good cookie to take o the go, or for anytime, this is a very good choice!!"
563001,"First thought--not as good as homemade.  Second thought--good anyways.  Homemade oatmeal cookies are chewy, moist, a slightly crisp outer layer... but these cookies are cakey throughout.  The other thing that sets them apart from homemade cookies is a slight taste of preservatives--or something--something different and packaged-tasting about the flavor.  They're not too sweet, which I like.  My kids have started revolting against granola bars and protein bars as snacks on our day-trips--I think this would be a good thing to take instead.  Filling, good energy boost, tastes better than an energy bar."
563002,"These are nice soft, spicy oatmeal cookies with a rich molasses flavor.  They are a perfect single serving size, in a perfect individual wrap.  They have a good taste, natural, not artificial and are a satisfying snack.  I would buy these to take for a snack or lunch."
563003,"Good store bought cookie comes individually wrapped so every one is fresh.  Has a slightly burnt flavor, the bottoms of the cookies were very dark, almost burnt.  Soft and chewy with a sweet tast, could use more raisins and a stronger oatmeal flavor.  Overall, I liked them and my son loved them.  I guess the younger folks will like how sweet the cookie is.  Not like homemade but very good for store bought."
563004,"i was surprised i liked it! i normally don't like oatmeal cookies, but these were sooo soft and chewy. it was delicious. i shared one with my daughter and she wolfed it down!"
563005,"Oatmeal cookies aren't my favorite but I do enjoy them from time to time but you would never know it by this cookie.  The first bite was pretty terrible, though they did seem to get better about half way through the cookie.  It was so dry and had a sawdust kind of texture.  I think the problem is the main ingredient is ground up oats, then with whole oats and wheat flour, instead of the recipes I've made with more whole oats and then wheat flour.  Even though I don't really like raisins they were the best thing about these cookies.  At least a bite with a raisin was a tiny bit moister.<br /><br />Not only that but it was 170 for only one cookie.  If this was a diet cookie, maybe I wouldn't be so harsh about the texture, but 170 for one cookie sure isn't diet food.<br /><br />2 stars."
563006,"WOW, I gave it to my son to try and it was gone within SECONDS. Then he goes, ""Mommy, can I have more?"" and I had to then go out and buy some more of these great cookies. I was very impressed with the packaging and how SOFT the cookies really were when you opened them and the flavor that they had. Very Impressive. Would definitely buy!"
